index,quote,author
1,Stories are a communal currency of humanity. ,Tahir Shah~ in Arabian Nights
2,Enlightenment is the key to everything~ and it is the key to intimacy~ because it is the goal of true authenticity. ,Marianne Willliamson
3,There is no persuasiveness more effectual than the transparency of a single heart~ of a sincere life. ,Joseph Barber Lightfoot
4,Individual commitment to a group effort--that is what makes a team work~ a company work~ a society work~ a civilization work. ,Vince Lombardi
5,I think that if you keep your eyes and your ears open and you are receptive to learning~ there are skills you can get from any job at all.,Cat Deeley
6,Tactics~ fitness~ stroke ability~ adaptability~ experience~ and sportsmanship are all necessary for winning.,Fred Perry
7,Every great dream begins with a dreamer. Always remember~ you have within you the strength~ the patience~ and the passion to reach for the stars to change the world. ,Harriet Tubman
8,The husband who decides to surprise his wife is often very much surprised himself.,Voltaire
9,Simplicity is the ultimate sophistication. ,Leonardo da Vinci
10,Reflect upon your present blessings--of which every man has many--not on your past misfortunes~ of which all men have some. ,Charles Dickens
11,The truest indication of gratitude is to return what you are grateful for.,Richard Paul Evans
12,This is my simple religion. There is no need for temples; no need for complicated philosophy. Our own brain~ our own heart is our temple; the philosophy is kindness. ,Dalai Lama
13,Never look down on anybody unless you're helping them up. ,Jesse Jackson
14,Humility is not thinking less of yourself~ it's thinking of yourself less. ,C.S. Lewis
15,No one has ever become poor by giving. ,Anne Frank
16,Nothing in the world can take the place of persistence. Talent will not; nothing is more common than unsuccessful people with talent. Genius will not; unrewarded genius is almost a proverb. Education will not; the world is full of educated derelicts. Persistence and determination alone are omnipotent. ,Calvin Coolidge
17,It is during our darkest moments that we must focus to see the light. ,Aristotle Onassis
18,In three words I can sum up everything I've learned about life: it goes on. ,Robert Frost
19,Love is not maximum emotion. Love is maximum commitment. ,Jennifer Dion
20,Change is hardest at the beginning~ messiest in the middle and best at the end. ,Robin S. Sharma
21,Forgiveness does not change the past~ but it does enlarge the future.,Paul Boese
22,I've learned through the years that it's not where you live~ it's the people who surround you that make you feel at home. ,J.B. McGee
23,We are only as strong as we are united~ as weak as we are divided. ,J.K. Rowling
24,Leadership is service~ not position. ,Tim Fargo
25,Create with the heart; build with the mind. ,Criss Jami
26,Wisdom is the reward you get for a lifetime of listening when you'd have preferred to talk. ,Doug Larson
27,Great stories happen to those who can tell them. ,Ira Glass
28,We need to find the courage to say no to the things and people that are not serving us if we want to rediscover ourselves and live our lives with authenticity. ,Barbara de Angelis
29,Transparency~ honesty~ kindness~ good stewardship~ even humor~ work in businesses at all times. ,John Gerzema
30,Talent wins games~ but teamwork and intelligence wins championships. ,Michael Jordan
31,One of the most sincere forms of respect is actually listening to what another has to say. ,Bryant H. McGill
32,The engineers of the future will be poets. ,Terence McKenna
33,If you can dance and be free and not be embarrassed~ you can rule the world.,Amy Poehler
34,Do the best you can until you know better. Then when you do know better~ do better.,Maya Angelou
35,Kind people are brave people. Brave is not something you should wait to feel. Brave is a decision. It is a decision that compassion is more important than fear~ than fitting in~ than following the crowd.,Glennon Doyle
36,The pessimist sees difficulty in every opportunity. The optimist sees opportunity in every difficulty.,Winston Churchill
37,Humility is the solid foundation of all virtues.,Confucius
38,The way to right wrongs is to turn the light upon them.,Ida B. Wells
39,It is unwise to be too sure of one's own wisdom.,Mahatma Gandhi
40,Without reflection~ we go blindly on our way~ creating more unintended consequences~ and failing to achieve anything useful.,Margaret J. Wheatley
41,You can dance in a hurricane~ but only if you're standing in the eye.,Brandi Carlile
42,Try not to become a person of success~ but rather~ try to become a person of value.,Albert Einstein
43,True humility does not know that it is humble. If it did~ it would be proud from the contemplation of so fine a virtue.,Martin Luther
44,I slept and I dreamed that life is all joy. I woke and saw that life is all service. I served and I saw that service is joy.,Khalil Gibran
45,The most common way people give up their power is by thinking they don't have any.,Alice Walker
46,Only when we're brave enough to explore the darkness will we discover the infinite power of our light.,Brene Brown
47,We cannot change what we are not aware of~ and once we are aware we cannot help but change.,Sheryl Sandberg
48,Don't be distracted by criticism. Remember - the only taste of success some people get is to take a bite out of you.,Zig Ziglar
49,Being humble means recognizing that we are not on earth to see how important we can become~ but to see how much difference we can make in the lives of others.,Gordon B. Hinckley
50,Attitude is the difference between an ordeal and an adventure.,Bob Bitchin
51,Always remember that you are absolutely unique. Just like everyone else.,Margaret Mead
52,Friendship is based on the oldest and most intrinsic human awareness that there is more to life than just ourselves.,Christopher Hansard
53,I alone cannot change the world~ but I can cast a stone across the water to create many ripples.,Mother Teresa
54,Admit when you are wrong. Shut up when you're right.,John M. Gottman
55,The two most important days in your life are the day you were born and the day you find out why.,Mark Twain
56,If you have no critics you'll likely have no success.,Malcolm X
57,All things are connected like the blood that unites us. We do not weave the web of life~ we are merely a strand in it. Whatever we do to the web~ we do to ourselves.,Chief Seattle
58,I've learned that people will forget what you said~ people will forget what you did~ but people will never forget how you made them feel.,Maya Angelou
59,If only you could sense how important you are to the lives of those you meet; how important you can be to people you may never even dream of. There is something of yourself that you leave at every meeting with another person.,Fred Rogers
60,If your actions create a legacy that inspires others to dream more~ learn more~ do more and become more~ then ~ you are an excellent leader.,Dolly Parton
61,Pride is concerned with who is right. Humility is concerned with what is right.,Ezra Taft Benson
62,Death is not the opposite of life~ but a part of it.,Haruki Murakami
63,It isn't what we say or think that defines us~ but what we do.,Jane Austen
64,Everything should be made as simple as possible~ but not simpler.,Albert Einstien
65,Definitions belong to the definer~ not the defined.,Toni Morrison
66,What makes you different or weird~ that's your strength.,Meryl Streep
67,What you resist~ persists.,Carl Jung
68,No act of kindness~ no matter how small~ is ever wasted.,Aesop
69,Asking~ listening~ and informing are the communication equivalent of technical proficiency in music; the more proficient~ the wider the range of application~ skillfulness~ and enjoyment.,Stephen Rollnick~ William Miller~ & Christopher Butler
70,The opposite of poverty is not wealth; the opposite of poverty is justice.,Bryan Stevenson
71,Ability is what you're capable of doing. Motivation determines what you do. Attitude determines how you do it.,Lou Holtz
72,Our deepest fear is not that we are inadequate~ our deepest fear is that we are powerful beyond measure.,Marianne Williamson
73,You will have bad times~ but they will always wake you up to the stuff you weren't paying attention to.,Robin Williams
74,Anyone who does anything to help a child in his (or her) life is a hero.,Fred Rogers
75,Never let success go to your head. Never let failure get to your heart.,Beyonce
76,Don't let someone who does not know your value tell you how much you're worth.,Angelina Jolie
77,The journey is learning that pain~ like love~ is simply something to surrender to. It's a holy space we can enter with people only if we promise not to tidy up.,Glennon Doyle
78,…humble enough to know I'm not better than anybody~ but wise enough to know I'm different from the rest.,Samual L. Jackson
79,There comes a day when you realize turning the page is the best feeling in the world~ because you realize there's so much more to the book than the page you were stuck on.,Zayn Malik
80,Human potential is the only limitless resource we have in this world.,Carly Fiorina
81,If you are not willing to sacrifice for what you want~ what you want eventually becomes the sacrifice.,Will Smith
82,Change will not come if we wait for some other time. We are the ones we've been waiting for. We are the change that we seek.,Barack Obama
83,Your time is limited~ don't waste it living someone else's life.,Steve Jobs
84,Success isn't about how much money you make. It's about the difference you make in people's lives.,Michelle Obama
85,You must expect great things of yourself before you can do them.,Michael Jordan
86,At the end of the day~ we can endure much more than we think we can.,Frida Kahlo
87,Decide upon your major definite purpose in life and then organize all your activities around it.,Brian Tracy
88,Most folks are about as happy as they make their minds up to be.,Abraham Lincoln
89,Opportunity is missed by most people because it is dressed in overalls and looks like work.,Thomas Edison
90,No one can make you feel inferior without your consent.,Eleanor Roosevelt
91,Stop shrinking to fit places you've outgrown.,Furaha Joyce
92,Have no fear of perfection; you'll never reach it.,Marie Curie
93,Look closely at the present you are constructing: it should look like the future you are dreaming.,Alice Walker
94,You cannot shake hands with a clenched fist.,Indira Gandhi
95,I have learned over the years that when one's mind is made up~ this diminishes fear.,Rosa Parks
96,I don't have a feeling of inferiority. Never had. I'm as good as anybody~ but no better.,Katherine Johnson
97,Fight for the things that you care about~ but do it in a way that will lead others to join you.,Ruth Bader Ginsburg
98,Hate is too great a burden to bear. It injures the hater more than it injures the hated.,Coretta Scott King
99,Pursuing peace means rising above one's own wants~ needs~ and emotions.,Benazir Bhutto
100,We're all from different rivers~ that's why it's so easy to meet; we're all water in this vast~ vast ocean~ someday we'll evaporate together.,Yoko Ono
101,Sometimes the smallest step in the right direction ends up being the biggest step of your life.,Naeem Callaway
102,The real test of manners is to be able to put up with bad manners pleasantly.,Khalil Gibran
103,Tolerance and compassion are active~ not passive states~ born of the capacity to listen~ to observe and to respect.,Indira Gandhi
104,Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi
105,Change happens by listening and then starting a dialogue with the people who are doing something you don't believe is right.,Jane Goodall
106,You don't make progress by standing on the sidelines whimpering and complaining. You make progress by implementing ideas.,Shirley Chisholm
107,Always be a first rate version of yourself and not a second rate version of someone else.,Judy Garland
108,Social change is brought about by those who dare and act~ who can think unconventionally and who can court unpopularity.,Indira Gandhi
109,If you don't like something~ change it. If you can't change it~ change your attitude.,Maya Angelou
110,We must use time creatively~ in the knowledge that the time is always right to do the right thing.,Martin Luther King Jr.
111,Real change~ enduring change~ happens one step at a time.,Ruth Bader Ginsburg
112,We cannot solve a crisis without treating as a crisis…And if solutions within the system are so impossible to find~ then maybe we should  change the system itself?,Greta Thunberg
113,If you don't like something~ change it. If you can't change it~ change your attitude.,Maya Angelou
114,I've learned that making a 'living' is not the same as 'making a life'.,Maya Angelou
115,It's on the strength of observation and reflection that one finds a way. So we must dig and delve unceasingly.,Claude Monet
116,Passion is the log that keeps the fire of purpose blazing.,Oprah Winfrey
117,I do not at all understand the mystery of grace - only that it meets us where we are but does not leave us where it found us.,Anne Lamott
118,Out of suffering have emerged the strongest souls; the most massive characters are seared with scars.,Khalil Gibran
119,…there are at least two major tasks to human life. The first task is to build a strong 'container' or identity; the second is to find the contents that the container was meant to hold.,Richard Rohr
120,I've been absolutely terrified every moment of my life - and I've never let it keep me from doing a single thing I wanted to.,Georgia O'Keeffe
121,The beginning of love is to let those we love be perfectly themselves~ and not to twist them to fit our own image. Otherwise we love only the reflection of ourselves we find in them.,Thomas Merton
122,Be there for others~ but never leave yourself behind.,Dodinsky
123,Aging is not 'lost youth' but a new stage of opportunity and strength.,Betty Friedan
124,We don't see things as they are~ we see them as we are.,Anais Nin
125,Some people are old at 18 and some are young at 90. Time is a construct that humans created.,Yoko Ono
126,The next decade cannot be a decade of confrontation and contention. It cannot be East vs. West. It cannot be men vs. women. It cannot  be Islam vs. Christianity. That is  what the enemies of dialogue want.,Benazir Bhutto
127,Success is not final; failure is not fatal; it is in the courage to continue that counts.,Winston Churchill
128,If our goal is to be tolerant of people who are different than we are~ then we really are aiming quite low. Traffic jams are to be tolerated. People are to be celebrated.,Glennon Doyle
129,The greatest danger to our future is apathy.,Jane Goodall
130,Every moment wasted looking back~ keeps us from moving forward…In this world and the world of tomorrow~ we must go forward together or not at all.,Hillary Clinton
131,The only person who is educated is the one who has learned how to learn...and change.,Carl Rogers
132,It is never to late to be who you might have been.,George Elliott
133,I can tell you that what you are looking for is already inside you.,Anne Lamott
134,Many a trip continues long after movement in time and space have ceased.,John Steinbeck
135,If I stop to kick every barking dog I am not going to get where I'm going.,Jackie Joyner-Kersee
136,Cautious~ careful people~ always casting about to preserve their reputations can never effect a reform.,Susan B. Anthony
137,If you cannot do great things~ do small things in a great way.,Napoleon Hill
138,When the whole world is silent~ even one voice becomes powerful.,Malala Yousafzai
139,Your mind is a powerful thing. When you fill it with positive thoughts~ our life will start to change.,Gautama Buddha
140,The more we diminish our own pain~ or rank it compared to what others have survived~ the less empathetic we are to everyone.,Brene Brown
